"","year","firm","id","xi1","xi3","xi1_lag","xi3_lag","up1","down1","stay1","pat_app","lpat_app"
"1","1983","BMW",1,-0.735535270703487,-0.613103499687379,-0.793456555071509,-0.681855841556238,0,0,1,92.0400009155273,4.53302951805056
"2","1984","BMW",1,-0.344330797304317,-0.334755026234781,-0.735535270703487,-0.613103499687379,1,0,0,94.4000015258789,4.55807859444878
"3","1985","BMW",1,-0.342030768155944,-0.343838657593621,-0.344330797304317,-0.334755026234781,0,0,1,84.9599990844727,4.45388206112369
"4","1986","BMW",1,-0.308353015921088,-0.319040820977641,-0.342030768155944,-0.343838657593621,0,0,1,162.839996337891,5.0988903194994
"5","1987","BMW",1,-0.198116169158172,-0.250422367922019,-0.308353015921088,-0.319040820977641,1,0,0,165.199996948242,5.11319186405939
"6","1988","BMW",1,0.395626814960058,0.179125347374493,-0.198116169158172,-0.250422367922019,1,0,0,181.720001220703,5.20795493314838
"7","1989","BMW",1,0.310276893652969,0.132197787727404,0.395626814960058,0.179125347374493,0,0,1,177,5.18178355029209
"8","1990","BMW",1,0.544801307265841,0.302715227024634,0.310276893652969,0.132197787727404,1,0,0,118,4.77912349311153
"9","1991","BMW",1,0.366552205313343,0.189807833350794,0.544801307265841,0.302715227024634,0,1,0,84.9599990844727,4.45388206112369
"10","1992","BMW",1,0.484402031321049,0.30851975862456,0.366552205313343,0.189807833350794,1,0,0,75.5199966430664,4.33755210070204
"11","1993","BMW",1,0.101012389672871,0.00692315429556994,0.484402031321049,0.30851975862456,0,1,0,99.120002746582,4.60636949399647
"12","1994","BMW",1,-0.240838216541183,-0.220845348379987,0.101012389672871,0.00692315429556994,0,1,0,146.320007324219,4.99260714129325
"13","1995","BMW",1,-0.239908199672395,-0.19593448272198,-0.240838216541183,-0.220845348379987,0,0,1,210.039993286133,5.35204765715576
"14","1996","BMW",1,0.0869669052228572,0.0528410946235344,-0.239908199672395,-0.19593448272198,1,0,0,328.040008544922,5.79617934989142
"15","1997","BMW",1,0.258897428651838,0.189660631056808,0.0869669052228572,0.0528410946235344,1,0,0,394.119995117188,5.97918950387457
"16","1998","BMW",1,0.320244663279904,0.287128467052826,0.258897428651838,0.189660631056808,0,0,1,415.359985351562,6.03155023546512
"17","1999","BMW",1,0.0137992411931936,0.0504824560722292,0.320244663279904,0.287128467052826,0,1,0,486.160003662109,6.18859261873617
"18","2000","BMW",1,-0.0758885373421808,0.023553096955188,0.0137992411931936,0.0504824560722292,0,0,1,587.640014648438,6.37781481624169
"19","2001","BMW",1,0.355212639933552,0.394062521511041,-0.0758885373421808,0.023553096955188,1,0,0,618.320007324219,6.42862211377486
"20","2002","BMW",1,-0.00554719108473434,0.111328846250666,0.355212639933552,0.394062521511041,0,1,0,575.840026855469,6.35756497825005
"21","2003","BMW",1,-0.182286357331959,-0.0195172286040471,-0.00554719108473434,0.111328846250666,0,1,0,413,6.02586597382531
"22","2004","BMW",1,0.0453797816988288,0.163202785777693,-0.182286357331959,-0.0195172286040471,1,0,0,431.880004882812,6.07046056461431
"23","2005","BMW",1,-0.0365130009964642,0.112993424121984,0.0453797816988288,0.163202785777693,0,0,1,252.520004272461,5.53544273223523
"24","2006","BMW",1,-0.137273099646986,0.0303715113540328,-0.0365130009964642,0.112993424121984,0,1,0,0,0
"25","1983","CHRYSLER",2,0.0324281051634611,-0.0626578636175335,0.0296271225311844,-0.109221879687528,0,0,1,12,2.56494935746154
"26","1984","CHRYSLER",2,0.525692747016776,0.367271144242636,0.0324281051634611,-0.0626578636175335,1,0,0,20,3.04452243772342
"27","1985","CHRYSLER",2,0.387309099546321,0.256381704821949,0.525692747016776,0.367271144242636,0,1,0,56,4.04305126783455
"28","1986","CHRYSLER",2,0.197732342052378,0.121111260365875,0.387309099546321,0.256381704821949,0,1,0,72,4.29045944114839
"29","1987","CHRYSLER",2,0.112920336285213,0.025946656789879,0.197732342052378,0.121111260365875,0,0,1,72,4.29045944114839
"30","1988","CHRYSLER",2,0.00503068501800641,-0.0420027394076008,0.112920336285213,0.025946656789879,0,1,0,112,4.72738781871234
"31","1989","CHRYSLER",2,-0.261847910082564,-0.256497655595045,0.00503068501800641,-0.0420027394076008,0,1,0,90,4.51085950651685
"32","1990","CHRYSLER",2,-0.161632927495827,-0.233034659321177,-0.261847910082564,-0.256497655595045,1,0,0,83,4.43081679884331
"33","1991","CHRYSLER",2,-0.310106249680613,-0.355027631202312,-0.161632927495827,-0.233034659321177,0,1,0,51,3.95124371858143
"34","1992","CHRYSLER",2,-0.196836615119868,-0.232956622015409,-0.310106249680613,-0.355027631202312,1,0,0,77,4.35670882668959
"35","1993","CHRYSLER",2,0.0317353921312301,-0.0145200289832092,-0.196836615119868,-0.232956622015409,1,0,0,121,4.80402104473326
"36","1994","CHRYSLER",2,0.260696556468875,0.184816059251224,0.0317353921312301,-0.0145200289832092,1,0,0,156,5.05624580534831
"37","1995","CHRYSLER",2,0.314615309036352,0.236891027295691,0.260696556468875,0.184816059251224,0,0,1,171,5.14749447681345
"38","1996","CHRYSLER",2,0.380995777217578,0.298586887875751,0.314615309036352,0.236891027295691,0,0,1,212,5.36129216570943
"39","1997","CHRYSLER",2,0.443807055169507,0.327799208670544,0.380995777217578,0.298586887875751,0,0,1,208,5.34233425196481
"40","1983","DAIMLER",3,0.12328596377233,-0.0917670058869621,0.783252324921106,0.403296330254565,0,1,0,59,4.0943445622221
"41","1984","DAIMLER",3,-0.111248067138244,-0.269864164315236,0.12328596377233,-0.0917670058869621,0,1,0,69,4.24849524204936
"42","1985","DAIMLER",3,0.61732697100195,0.262790135986213,-0.111248067138244,-0.269864164315236,1,0,0,76,4.34380542185368
"43","1986","DAIMLER",3,0.805038149851528,0.422209121041541,0.61732697100195,0.262790135986213,1,0,0,95,4.56434819146784
"44","1987","DAIMLER",3,0.687288385100433,0.319416014749155,0.805038149851528,0.422209121041541,0,1,0,100,4.61512051684126
"45","1988","DAIMLER",3,0.700373028019009,0.313620575728033,0.687288385100433,0.319416014749155,0,0,1,122.720001220703,4.81802095768353
"46","1989","DAIMLER",3,0.987608497277964,0.521769508674884,0.700373028019009,0.313620575728033,1,0,0,120.360000610352,4.79876134006954
"47","1990","DAIMLER",3,0.934047117696147,0.478917864677329,0.987608497277964,0.521769508674884,0,0,1,167.559997558594,5.12729175501203
"48","1991","DAIMLER",3,0.763750979569205,0.355772939719484,0.934047117696147,0.478917864677329,0,1,0,188.800003051758,5.24597090225464
"49","1992","DAIMLER",3,0.886910753022843,0.443739713333339,0.763750979569205,0.355772939719484,1,0,0,179.360000610352,5.19495485693696
"50","1993","DAIMLER",3,0.607920215048348,0.223911605454518,0.886910753022843,0.443739713333339,0,1,0,158.119995117188,5.06965860385936
"51","1994","DAIMLER",3,0.485464472392017,0.185287185468169,0.607920215048348,0.223911605454518,0,1,0,243.080001831055,5.49749604791028
"52","1995","DAIMLER",3,0.655586207347838,0.33717236541987,0.485464472392017,0.185287185468169,1,0,0,287.920013427734,5.66614987965826
"53","1996","DAIMLER",3,0.671650231646914,0.365641237436231,0.655586207347838,0.33717236541987,0,0,1,476.720001220703,6.1690247893555
"54","1997","DAIMLER",3,0.755483864305299,0.454883628734904,0.671650231646914,0.365641237436231,0,0,1,559.320007324219,6.32850806216898
"55","1998","DAIMLER",3,-0.75277004357328,-0.241223238776548,0.755483864305299,0.454883628734904,0,1,0,814.200012207031,6.70343349688279
"56","1999","DAIMLER",3,-0.840113847604668,-0.310111606864332,-0.75277004357328,-0.241223238776548,0,0,1,868.47998046875,6.76789530934153
"57","2000","DAIMLER",3,-0.966202750461961,-0.395623208505501,-0.840113847604668,-0.310111606864332,0,1,0,571.119995117188,6.3493487510521
"58","2001","DAIMLER",3,-0.900617970564242,-0.333141800800163,-0.966202750461961,-0.395623208505501,0,0,1,460.200012207031,6.13383181486288
"59","2002","DAIMLER",3,-1.1325916459662,-0.560555392336001,-0.900617970564242,-0.333141800800163,0,1,0,656.080017089844,6.48780580268177
"60","2003","DAIMLER",3,-1.19037887987621,-0.627132042273085,-1.1325916459662,-0.560555392336001,0,0,1,1028.9599609375,6.9372752075919
"61","2004","DAIMLER",3,-1.31367602795723,-0.704117933754677,-1.19037887987621,-0.627132042273085,0,1,0,684.400024414062,6.53000264506067
"62","2005","DAIMLER",3,-1.3813505002651,-0.760378270415725,-1.31367602795723,-0.704117933754677,0,0,1,169.919998168945,5.14119560006289
"63","2006","DAIMLER",3,-1.31761176923427,-0.738623017549568,-1.3813505002651,-0.760378270415725,0,0,1,0,0
"64","1983","FIAT",4,0.879107796095891,0.627677609259354,1.0638847685972,0.783869247984185,0,1,0,49.560001373291,3.92316077700021
"65","1984","FIAT",4,0.942612900517593,0.672110329752759,0.879107796095891,0.627677609259354,0,0,1,89.6800003051758,4.50733682900474
"66","1985","FIAT",4,0.739594991920756,0.506236254268636,0.942612900517593,0.672110329752759,0,1,0,120.360000610352,4.79876134006954
"67","1986","FIAT",4,0.671656413082246,0.481120878707716,0.739594991920756,0.506236254268636,0,0,1,122.720001220703,4.81802095768353
"68","1987","FIAT",4,0.504384947429931,0.356346956676464,0.671656413082246,0.481120878707716,0,1,0,148.679992675781,5.00849963303332
"69","1988","FIAT",4,0.364018266577752,0.261455896380163,0.504384947429931,0.356346956676464,0,1,0,169.919998168945,5.14119560006289
"70","1989","FIAT",4,0.334133125748389,0.252085076496539,0.364018266577752,0.261455896380163,0,0,1,205.320007324219,5.3294283970724
"71","1990","FIAT",4,0.342698705020493,0.243435480855236,0.334133125748389,0.252085076496539,0,0,1,233.639999389648,5.45805242206797
"72","1991","FIAT",4,0.13864473599067,0.0838411143721057,0.342698705020493,0.243435480855236,0,1,0,155.759994506836,5.05471593828956
"73","1992","FIAT",4,0.0710744648614309,0.0265099500887225,0.13864473599067,0.0838411143721057,0,0,1,160.479995727539,5.0843812695266
"74","1993","FIAT",4,-0.161957464799512,-0.183944684554978,0.0710744648614309,0.0265099500887225,0,1,0,146.320007324219,4.99260714129325
"75","1994","FIAT",4,-0.205736871187279,-0.176889050611858,-0.161957464799512,-0.183944684554978,0,0,1,77.879997253418,4.36792767547463
"76","1995","FIAT",4,-0.0863781656242709,-0.0530192914390015,-0.205736871187279,-0.176889050611858,1,0,0,87.3199996948242,4.48096657907344
"77","1996","FIAT",4,-0.0709763901985519,-0.0327049620830006,-0.0863781656242709,-0.0530192914390015,0,0,1,103.839996337891,4.65243534352475
"78","1997","FIAT",4,0.0267254258229031,0.0923016917852099,-0.0709763901985519,-0.0327049620830006,0,0,1,87.3199996948242,4.48096657907344
"79","1998","FIAT",4,0.00289542750939777,0.0967490354574073,0.0267254258229031,0.0923016917852099,0,0,1,63.7200012207031,4.17007029161153
"80","1999","FIAT",4,-0.325802968367865,-0.185964457847224,0.00289542750939777,0.0967490354574073,0,1,0,61.3600006103516,4.13292405397713
"81","2000","FIAT",4,-0.341711777784319,-0.171343040937689,-0.325802968367865,-0.185964457847224,0,0,1,77.879997253418,4.36792767547463
"82","2001","FIAT",4,-0.0819740675603657,0.0187507971205853,-0.341711777784319,-0.171343040937689,1,0,0,73.1600036621094,4.30622497063879
"83","2002","FIAT",4,-0.485790285808114,-0.366577195476376,-0.0819740675603657,0.0187507971205853,0,1,0,37.7599983215332,3.65738874371847
"84","2003","FIAT",4,-0.784426529942753,-0.616089520505484,-0.485790285808114,-0.366577195476376,0,1,0,28.3199996948242,3.37826986661
"85","2004","FIAT",4,-0.899035016526291,-0.695465968209629,-0.784426529942753,-0.616089520505484,0,1,0,56.6399993896484,4.05421676054229
"86","2005","FIAT",4,-1.0286284889689,-0.815590313283313,-0.899035016526291,-0.695465968209629,0,1,0,30.6800003051758,3.4556855765793
"87","2006","FIAT",4,-0.980653236336641,-0.763845092999685,-1.0286284889689,-0.815590313283313,0,0,1,0,0
"88","1983","FORD",5,0.149783621284938,0.101245971757975,0.0904122577744185,0.0366796770741308,0,0,1,203,5.31811999384422
"89","1984","FORD",5,0.29757214795089,0.225122623748177,0.149783621284938,0.101245971757975,1,0,0,183,5.21493575760899
"90","1985","FORD",5,0.233944255575118,0.170534737914611,0.29757214795089,0.225122623748177,0,0,1,249,5.52146091786225
"91","1986","FORD",5,0.210122582892238,0.158834841335704,0.233944255575118,0.170534737914611,0,0,1,252,5.53338948872752
"92","1987","FORD",5,0.244531811513646,0.170063135718678,0.210122582892238,0.158834841335704,0,0,1,318,5.76519110278484
"93","1988","FORD",5,0.0999969599281383,0.0662470054275737,0.244531811513646,0.170063135718678,0,1,0,302,5.71373280550937
"94","1989","FORD",5,0.0186377846299796,0.0120081583650402,0.0999969599281383,0.0662470054275737,0,0,1,424.799987792969,6.05396972379092
"95","1990","FORD",5,0.114421072944595,0.0670143982825927,0.0186377846299796,0.0120081583650402,0,0,1,449,6.10924758276437
"96","1991","FORD",5,-0.143298539456367,-0.141352384280572,0.114421072944595,0.0670143982825927,0,1,0,466,6.1463292576689
